Município;População;Frota Total;Frota Ativa;Acidentes;Veículos Envolvidos;Feridos e Ilesos;Óbitos
Álvares Machado;25206;18503;12032;608;562;694;16
Álvaro de Carvalho;5422;1627;964;43;29;38;2
Alvinlândia;3273;1779;1091;24;17;7;2
Alvinópolis;14869;7365;5183;378;493;648;5
Alvorada;222780;107305;65535;208;345;322;73
Alvorada D'Oeste;12160;9898;6993;474;701;853;26
Alvorada de Minas;3563;1764;1335;133;149;224;2
Alvorada do Gurguéia;5545;1325;1124;37;31;31;8
Alvorada do Norte;8794;4838;3180;351;444;437;20
Alvorada do Sul;11777;6723;3954;181;284;362;12
Amajari;14245;1035;701;30;48;43;10
Amambai;41151;24149;16756;1267;2049;1950;22
Amapá;0;0;0;0;0;0;0
Amapá do Maranhão;7082;1008;741;8;8;4;4
Amaporã;6569;2931;1754;71;98;119;8
Amaraji;22964;4390;3070;174;201;190;15
Amaral Ferrador;7036;3999;2172;3;4;3;3
Amaralina;3936;931;707;61;73;74;3
Amarante;17779;5830;4540;156;160;147;13
Amarante do Maranhão;42209;9369;7345;95;96;83;11
Amargosa;37473;14136;10330;177;336;335;21
Amaturá;0;0;0;0;0;0;0
Amélia Rodrigues;24156;7836;5813;432;706;917;25
América Dourada;15682;3035;1949;71;122;114;30
Americana;249757;198527;134954;6368;6337;6076;153
Americano do Brasil;6318;3470;2365;141;180;177;1
Américo Brasiliense;42759;28018;18078;446;420;369;17
Américo de Campos;6004;4325;2482;83;78;73;10
Ametista do Sul;7357;6238;3863;5;7;2;5
Amontada;44682;11267;7876;44;66;48;32
Amorinópolis;2795;1871;1278;131;235;194;2
Amparo;76403;60692;39714;2451;2182;2411;81
Amparo da Serra;4487;2177;1577;142;152;249;0
Amparo de São Francisco;0;0;0;0;0;0;0
Ampére;19753;16136;11289;740;1289;1575;32
Anadia;17329;3522;2723;26;34;15;21
Anagé;22385;3981;2589;74;116;112;9
Anahy;2703;2238;1448;46;69;101;3
Anajás;30054;362;112;17;26;16;3
Anajatuba;26988;4487;3500;40;42;32;8
Analândia;5254;3145;1860;64;50;36;4
Anamã;0;0;0;0;0;0;0
Ananás;9269;3667;2760;78;127;126;11
Ananindeua;547241;166591;131891;13666;25548;14372;230
Anápolis;407494;318666;225364;31042;45825;43162;374
Anapu;29699;6799;5051;437;668;487;63
Anapurus;16101;2622;1684;36;38;31;8
Anastácio;25507;14809;10268;504;808;744;5
Anaurilândia;9213;4542;3022;177;229;216;9
Anchieta;36425;20878;16153;2221;1992;2953;39
Andaraí;12933;2075;1324;42;66;44;25
Andirá;19295;16176;10366;425;668;812;13
Andorinha;13802;4093;2848;20;21;25;4
Andradas;42184;31418;19499;1536;2251;2833;31
Andradina;57165;50819;34296;2149;2302;2547;43
André da Rocha;1364;924;485;1;1;0;1
Andrelândia;12004;5935;3497;181;233;315;5
Angatuba;26282;15733;9808;355;355;391;29
Angelândia;8611;3744;2707;241;261;388;4
Angélica;11397;8083;5840;122;176;161;7
Angelim;11363;2512;1768;55;61;50;15
Angelina;4623;4698;3470;266;329;378;1
Angical;13638;2839;2093;48;98;85;12
Angical do Piauí;6836;2300;1840;76;78;75;6
Angico;3488;829;613;21;36;39;1
Angicos;11685;4377;2957;21;25;5;17
Angra dos Reis;218301;71188;53218;752;903;779;140
Anguera;11253;1846;1403;84;120;139;1
Ângulo;2903;2128;1348;77;114;141;4
Anhanguera;1193;610;404;43;62;63;0
Anhembi;7131;2936;1767;83;68;78;9
Anhumas;4232;2375;1531;44;40;55;3
Anicuns;22280;14310;9523;725;1075;997;20
Anísio de Abreu;10068;2039;1358;83;90;89;11
Anita Garibaldi;6603;6458;4099;201;261;348;11
Anitápolis;3216;3025;2078;130;154;171;1
Anori;21477;521;186;3;2;3;1
Anta Gorda;5913;5615;3672;5;7;3;6
Antas;19565;2983;1993;96;177;191;22
Antonina;18630;6379;4205;206;302;451;5
Antonina do Norte;7461;2882;2256;15;19;20;9
Antônio Almeida;3209;1033;788;15;12;21;1
Antônio Cardoso;11342;1875;1500;98;168;231;17
Antônio Carlos;22050;15530;11508;965;1288;1448;14
Antônio Dias;9017;3900;2583;595;866;881;6
