Município;População;Frota Total;Frota Ativa;Acidentes;Veículos Envolvidos;Feridos e Ilesos;Óbitos
Lajeado;3410;2694;1663;5;6;2;5
Lajeado do Bugre;2569;1443;812;3;4;1;3
Lajeado Grande;1396;1208;921;69;82;101;3
Lajeado Novo;7685;1783;1526;16;17;7;10
Lajedão;3934;1021;834;42;76;88;1
Lajedinho;3574;648;431;57;107;107;5
Lajedo;41125;20533;13804;478;526;451;78
Lajedo do Tabocal;8408;1692;1135;22;31;43;4
Lajes;11338;2711;1893;9;10;0;10
Lajes Pintadas;4767;1552;1018;5;7;4;2
Lajinha;19683;13063;8857;870;1119;1570;14
Lamarão;7563;1277;953;48;70;79;7
Lambari;21036;14782;9819;560;777;931;21
Lambari D'Oeste;6423;2980;2233;5;6;2;3
Lamim;3292;1952;1353;97;127;180;1
Landri Sales;5309;1321;916;35;38;25;2
Lapa;69907;25927;14439;127;246;200;48
Lapão;27341;6178;4064;2;3;2;4
Laranja da Terra;10601;9155;6477;454;417;554;22
Laranjal;12301;6514;4324;143;199;229;10
Laranjal do Jari;0;0;0;0;0;0;0
Laranjal Paulista;29639;21292;14089;372;319;369;34
Laranjeiras;4900;1669;1254;176;212;332;12
Laranjeiras do Sul;32036;23660;15054;1088;1761;2270;19
Lassance;6395;2283;1539;199;241;305;11
Lastro;2693;995;804;6;6;4;3
Laurentino;7237;6565;5016;623;849;1002;8
Lauro de Freitas;207384;92803;74180;449;547;530;24
Lauro Müller;15427;15452;11241;1701;2215;2450;11
Lavandeira;2028;493;385;12;17;23;1
Lavínia;13321;3154;2090;69;63;52;6
Lavras;107560;73062;52212;6521;9741;11821;51
Lavras da Mangabeira;31560;8432;6583;37;57;52;18
Lavras do Sul;7328;4259;2154;5;8;3;5
Lavrinhas;7468;3971;2476;233;242;251;11
Leandro Ferreira;3176;1861;1278;138;162;228;4
Lebon Régis;12114;7630;4689;526;696;817;8
Leme;101767;83380;52946;3442;3203;2784;69
Leme do Prado;4419;2309;1812;140;169;245;4
Lençóis;11522;3366;1889;159;333;334;16
Lençóis Paulista;68372;57794;40283;2126;2122;1926;53
Leoberto Leal;3146;2908;2189;275;373;361;1
Leopoldina;21843;2419;1866;20;28;7;22
Leopoldo de Bulhões;7590;4324;2853;377;490;554;9
Leópolis;3767;2466;1428;66;100;119;4
Liberato Salzano;5234;3399;2026;2;3;2;2
Liberdade;4827;3311;1671;49;63;96;4
Licínio de Almeida;12381;3495;1768;80;80;76;4
Lidianópolis;2880;3003;1917;83;136;170;13
Lima Campos;12027;4211;2822;17;18;14;3
Lima Duarte;16636;8377;5330;407;553;615;1
Limeira;315812;246625;161903;6886;5544;5077;255
Limeira do Oeste;7712;5402;3955;479;614;720;2
Limoeiro;56186;21774;15673;459;497;451;52
Limoeiro de Anadia;28786;6860;5556;81;124;75;46
Limoeiro do Ajuru;29623;434;240;25;41;22;0
Limoeiro do Norte;60838;37478;27750;141;234;224;51
Lindoeste;4183;3798;2337;78;100;149;1
Lindóia;19108;15892;10350;337;251;200;24
Lindóia do Sul;4507;3450;2413;148;190;224;1
Lindolfo Collor;5957;3971;2654;2;4;2;2
Linha Nova;0;0;0;0;0;0;0
Linhares;184977;96120;76587;12278;12705;16546;163
Lins;79967;64577;44229;3001;2775;3108;56
Livramento;7218;1334;883;4;4;0;4
Livramento de Nossa Senhora;45945;21913;14381;163;182;178;27
Lizarda;3712;475;285;14;26;24;3
Loanda;23628;19075;12221;800;1261;1562;24
Lobato;4894;3386;2109;77;112;142;3
Logradouro;4429;640;468;9;11;7;5
Londrina;592190;437694;292644;32039;50598;73323;196
Lontra;10265;2974;2247;103;120;207;2
Lontras;12661;10415;7374;892;1174;1408;20
Lorena;90305;52238;34758;1807;1582;1627;64
Loreto;12328;2154;1712;26;30;15;15
Lourdes;28874;2140;610;4;5;2;3
Louveira;53677;38399;27883;665;573;485;43
Lucas do Rio Verde;53677;38399;27883;665;573;485;43
Lucélia;22305;14147;8807;564;649;700;21
Lucena;13427;3676;2725;22;27;14;16
Lucianópolis;2426;1505;929;30;29;31;4
Luciara;2085;735;501;2;4;4;0
Lucrécia;4056;1348;989;3;3;0;3
Luís Antônio;16461;8290;5346;153;177;165;15
Luís Correia;30972;9183;7626;651;720;694;31
Luís Domingues;7052;858;566;3;3;0;2
Luís Eduardo Magalhães;97187;76551;64248;457;804;830;75
Luís Gomes;10166;3259;2403;5;5;0;5
Luisburgo;6156;4892;3557;146;184;260;0
Luislândia;6716;1493;1088;100;125;178;4
Luiz Alves;13555;11844;8952;589;739;861;8
Luiziana;7083;4054;2296;219;352;449;20
Luiziânia;6064;2619;1667;29;23;17;3
Luminárias;5349;3638;2215;152;182;251;4
Lunardelli;4493;3504;1899;62;99;127;4
Lupércio;4624;2134;1222;31;30;26;3
Lupionópolis;4994;3142;1860;52;78;103;4
Lutécia;2579;1672;1034;38;31;50;3
Luz;18046;13523;9408;828;1132;1346;6
Luzerna;5675;5544;3991;503;682;794;3
Luziânia;222436;79018;50900;10091;14135;12639;176
Luzilândia;25778;9530;5967;148;131;167;15
Luzinópolis;3234;758;557;18;28;31;1
Macaé;277561;128785;88071;891;1093;977;149
Macaíba;83103;29369;22166;278;512;427;53
Macajuba;10986;1940;1047;12;16;13;3
Maçambará;4527;1497;896;4;6;5;4
Macambira;7012;2515;1765;5;5;2;2
Macapá;535756;178466;135985;7407;13016;15508;71
Macaparana;25649;8677;5564;150;159;143;17
Macarani;18916;4030;2916;10;11;15;0
Macatuba;17335;12175;7733;245;212;215;18
Macau;10475;2447;1590;5;5;2;3
Macaubal;8216;6085;3624;97;88;110;4
Macaúbas;10475;2447;1590;5;5;2;3
Macedônia;3658;2437;1589;50;37;54;4
Maceió;1030648;402858;325417;3843;7503;8527;522
Machacalis;7036;2447;1916;337;364;483;6
Machadinho;5415;3986;2300;3;4;2;3
Machadinho D'Oeste;43257;19008;14326;998;1345;1637;88
Machado;25206;18503;12032;608;562;694;16
Machados;16717;4291;2988;104;109;110;6
Macieira;1746;1243;778;70;85;101;1
Macuco;5764;4357;2648;42;58;54;5
Macururé;7714;938;558;16;38;32;5
Madalena;20008;5234;3962;12;18;15;5
Madeiro;8381;1096;700;9;11;7;4
Madre de Deus;52067;17187;11756;356;376;333;46
Madre de Deus de Minas;5094;3171;2141;181;238;320;10
Mãe d'Água;3982;754;602;4;4;1;3
Mãe do Rio;30748;11221;7759;369;611;413;45
Maetinga;1669;1323;842;8;9;5;3
Mafra;57016;46530;35616;2840;4003;4786;48
Magalhães Barata;8675;671;458;46;73;50;4
Magalhães de Almeida;20288;1214;698;5;5;2;1
Magda;3033;2508;1427;41;47;37;1
Magé;253431;89494;61072;1737;1925;1869;119
Maiquinique;10249;1950;1374;9;15;13;7
Mairi;3895;2142;1275;31;46;51;0
Mairinque;48307;35820;22921;823;749;746;49
Mairiporã;107807;62161;37875;2394;1490;1328;97
Mairipotaba;2315;1477;935;83;102;100;2
Major Gercino;3471;2589;1745;150;186;200;4
Major Isidoro;19704;4462;3157;20;26;11;20
Major Sales;4110;1117;901;3;3;0;3
Major Vieira;8250;5610;4082;245;327;365;2
Malacacheta;18213;7657;5647;806;1010;1401;27
Malhada;16875;2901;1575;30;56;53;3
Malhada de Pedras;8029;2999;1854;29;35;40;4
Malhada dos Bois;3674;920;650;1;2;2;0
Malhador;12661;4070;2823;2;3;2;0
Mallet;13653;10304;6603;198;307;430;1
Malta;5797;1707;1457;16;15;2;14
Mamanguape;6354;1574;1102;2;3;2;1
Mambaí;9803;3498;2556;244;303;280;13
Mamborê;12405;12211;7191;227;337;467;4
Mamonas;6525;3967;2599;56;67;127;2
Mampituba;2972;809;538;3;3;2;3
Manacapuru;100838;22409;15270;44;32;41;21
Manaíra;10943;1600;1358;8;8;1;7
Manaquiri;35698;1100;868;3;1;2;1
Manari;22355;3004;2229;123;130;117;15
Manaus;2316956;887836;666573;6629;5734;10949;473
Mâncio Lima;20357;4475;3504;17;31;30;1
Mandaguaçu;23992;17472;11904;630;952;1264;6
Mandaguari;34625;30445;19308;1258;2053;2606;36
Mandirituba;28833;18782;11518;303;459;624;16
Manduri;10102;7516;4504;125;90;113;14
Manfrinópolis;2215;1756;1119;82;115;133;10
Manga;20368;8321;5729;149;261;299;14
Mangaratiba;47779;17598;13403;248;337;293;48
Mangueirinha;16246;12805;7972;453;690;927;25
Manhuaçu;93854;51376;37918;4176;6517;7119;54
Manhumirim;21139;13203;8007;808;1066;1452;7
Manicoré;58536;3569;2174;4;3;2;1
Manoel Emídio;5283;1298;1134;63;66;77;7
Manoel Ribas;14010;9928;6383;368;599;688;32
Manoel Urbano;21139;13203;8007;808;1066;1452;7
Manoel Viana;7291;4428;2467;1;1;0;1
Manoel Vitorino;17680;7027;5440;963;1175;1205;21
Mansidão;0;0;0;0;0;0;0
Mantena;27360;19939;12399;1048;1463;1884;24
Mantenópolis;15734;7881;6511;429;388;499;20
Maquiné;6652;5172;3312;14;20;19;14
Mar de Espanha;13097;7370;4815;292;377;471;2
Mar Vermelho;3453;1071;792;3;3;1;2
Mara Rosa;8686;6751;4795;437;631;620;12
Maraã;0;0;0;0;0;0;0
Marabá;291625;140919;108936;6851;11905;7335;312
Marabá Paulista;6252;2091;1233;32;45;18;8
Maracaçumé;21853;4970;3257;42;42;27;15
Maracaí;14109;10026;6230;189;178;164;18
Maracajá;7533;6860;5147;477;611;683;8
Maracaju;50991;31607;23622;1144;1832;1712;12
Maracanã;29817;2148;1428;121;185;145;11
Maracanaú;234130;90846;72372;2694;5221;5526;74
Maracás;18356;8452;5702;120;139;142;11
Maragogi;33473;6108;5019;195;364;357;36
Maragogipe;44008;7576;5455;53;85;81;6
Maraial;11036;2237;1378;26;27;25;2
Marajá do Sena;7820;984;724;1;1;1;0
Maranguape;134369;33825;26595;946;1775;1863;54
Maranhãozinho;16764;1874;1377;8;8;4;4
Marapanim;28827;2914;2138;294;486;306;20
Marapoama;3173;3154;2258;48;39;45;3
Maratá;2690;2079;1360;1;1;1;1
Marataízes;39465;25619;19482;3268;2937;4371;35
Marau;46776;35978;23534;29;51;30;30
Maraú;46776;35978;23534;29;51;30;30
Maravilha;35582;28164;21399;2392;3419;4147;33
Maravilhas;8229;6550;4768;429;545;694;7
Marcação;8805;1759;1311;13;15;8;9
Marcelândia;10098;9694;6498;13;17;19;2
Marcelino Ramos;4028;3145;1876;7;14;12;7
Marcelino Vieira;8317;2396;1891;28;38;30;12
Marcionílio Souza;10382;1851;1073;5;5;4;1
Marco;4234;2859;1833;47;55;45;7
Marcolândia;8713;7339;5608;66;87;73;9
Marcos Parente;4588;1053;774;27;31;30;3
Marechal Cândido Rondon;55164;52131;35117;2918;4969;5909;34
Marechal Deodoro;53027;17220;14932;568;1090;1097;50
Marechal Floriano;17412;14288;10322;796;493;898;37
Marechal Thaumaturgo;0;0;0;0;0;0;0
Marema;1654;1652;1205;66;76;100;1
Mari;12215;2391;1552;76;81;74;7
Maria da Fé;13751;6583;4394;274;347;482;8
Maria Helena;5405;3869;2390;123;178;216;7
Marialva;36675;32506;22224;1242;1915;2547;15
Mariana;62805;35436;26356;4952;7447;8052;29
Mariana Pimentel;3885;3056;1617;2;3;2;2
Mariano Moro;0;0;0;0;0;0;0
Marianópolis do Tocantins;5468;1697;1226;76;115;127;6
Mariápolis;4101;2004;1307;44;33;43;2
Maribondo;12920;3503;2844;16;22;13;17
Maricá;175249;88005;63671;1524;1841;1723;159
Marilac;3981;1540;1240;90;109;163;6
Marilândia;13334;9657;7404;765;637;882;11
Marilândia do Sul;8636;6590;3699;91;121;148;1
Marilena;7043;5558;3401;190;274;354;6
Marília;245813;186928;128641;8834;9716;10630;157
Mariluz;10193;6691;3778;150;217;281;3
Maringá;451881;354736;257650;38225;62883;86557;171
Marinópolis;2079;1439;851;31;25;43;2
Mário Campos;16234;9192;6254;1350;1939;2246;9
Mariópolis;6656;4672;2851;256;433;497;11
Maripá;5441;5261;3396;227;387;486;21
Maripá de Minas;3007;2020;1335;59;77;91;0
Marituba;137720;32330;27014;2411;4498;2587;77
Marizópolis;6723;1854;1550;6;7;0;6
Marliéria;3972;1991;1292;232;259;407;6
Marmeleiro;14320;13234;9036;844;1444;1758;15
Marmelópolis;2592;1627;1142;36;51;57;0
Marques de Souza;3918;3054;2059;21;50;52;27
Marquinho;4040;2690;1711;28;41;53;1
Martinho Campos;13512;10707;7550;974;1298;1607;37
Martinópole;11568;2874;2062;40;63;70;9
Martinópolis;27128;16889;10519;559;551;589;52
Martins;7153;2205;1610;10;11;0;7
Martins Soares;8879;4626;3043;237;336;395;4
Maruim;17324;3996;2945;5;7;5;1
Marumbi;4622;3040;1830;67;97;121;4
Marzagão;2280;1396;891;156;210;235;6
Mascote;12990;1892;1418;138;214;298;26
Massapê;39904;11776;8976;80;126;119;34
Massapê do Piauí;6513;1161;978;23;24;19;6
Massaranduba;31919;18255;13696;1013;1368;1590;31
Mata;27311;6674;4934;28;41;21;27
Mata de São João;47833;13685;10349;366;620;646;46
Mata Grande;24968;5296;3412;24;30;12;30
Mata Roma;17185;2967;1853;25;24;15;10
Mata Verde;8775;2191;1601;163;180;210;6
Matão;84954;74050;47431;2597;2102;1829;72
Mataraca;8707;2011;1372;17;20;3;21
Mateiros;2820;563;409;32;50;48;1
Matelândia;18579;15642;10065;298;448;626;4
Materlândia;4300;1849;1221;93;107;146;6
Mateus Leme;32100;19068;11858;2262;3207;3500;24
Mathias Lobato;3055;1036;739;51;68;79;3
Matias Barbosa;14702;9042;6279;514;724;837;4
Matias Cardoso;11538;1952;1335;132;126;247;9
Matias Olímpio;11096;1572;998;43;40;41;9
Matina;12356;2038;1010;73;83;84;5
Matinha;23725;4632;3203;60;62;52;8
Matinhas;4507;1079;792;9;10;2;8
Matinhos;36869;20905;14034;1799;2777;3801;24
Matipó;19172;9131;6090;503;715;825;12
Mato Castelhano;2532;2098;1212;11;25;19;12
Mato Grosso;2937;1028;689;2;2;0;2
Mato Leitão;4671;4092;2780;4;7;4;5
Mato Queimado;0;0;0;0;0;0;0
Mato Rico;2914;1975;1207;25;32;56;3
Mato Verde;12095;9584;6144;341;413;616;17
Matões;34296;3581;2608;75;74;57;17
Matões do Norte;17310;891;709;20;21;12;8
Matos Costa;2399;2010;1258;91;112;126;2
Matozinhos;39022;22841;15325;2548;4080;4317;13
Matrinchã;4225;2332;1683;111;144;128;1
Matriz de Camaragibe;24398;5277;3928;36;54;43;15
Matupá;17617;17110;13473;12;13;4;13
Maturéia;6721;1806;1318;14;16;6;11
Matutina;3667;2458;1704;138;177;293;2
Mauá;492006;258103;151165;5441;4723;5669;139
Mauá da Serra;11491;6986;4137;201;297;384;4
Maués;68085;6596;3201;4;2;2;2
Maurilândia;15187;7197;4824;258;355;287;6
Maurilândia do Tocantins;3485;698;497;10;18;17;1
Mauriti;49563;14798;11320;45;69;69;33
Maxaranguape;12643;2310;1664;10;16;13;5
Maximiliano de Almeida;4069;4233;2390;3;3;1;3
Mazagão;22195;1386;1100;4;10;10;0
Medeiros;3907;2559;1633;133;172;243;4
Medeiros Neto;22208;7855;6375;85;128;130;13
Medianeira;47610;43821;30541;1865;2988;3999;25
Medicilândia;32772;8024;5076;435;601;465;34
Medina;20298;6303;4081;377;454;584;12
Meleiro;6975;6621;5184;434;558;635;9
Melgaço;8269;1043;822;8;8;9;2
Mendes;13380;2625;1614;26;42;30;12
Mendes Pimentel;6375;2970;2211;133;138;221;7
Mendonça;5811;4348;2987;96;107;79;12
Mercedes;5686;6154;4190;94;150;169;6
Mercês;10712;7045;4681;309;446;534;8
Meridiano;3770;3673;2565;87;88;101;8
Meruoca;15443;5067;4259;34;52;53;9
Mesópolis;1890;1253;763;26;26;27;5
Mesquita;4415;2051;1238;56;55;41;2
Messias;16231;3492;2798;17;20;4;18
Messias Targino;4667;1568;1068;11;11;0;9
Miguel Alves;32954;4935;3148;215;218;265;19
Miguel Calmon;24100;6991;4239;32;44;40;8
Miguel Leão;1247;303;242;11;13;14;0
Miguel Pereira;26057;18897;11991;222;285;268;22
Miguelópolis;22735;13188;7794;223;214;182;19
Milagres;37171;11638;8682;160;293;329;26
Milagres do Maranhão;8460;416;289;1;1;0;1
Milhã;13126;5812;3955;30;46;47;19
Milton Brandão;6646;1254;994;24;22;23;4
Mimoso de Goiás;2500;421;271;75;95;84;2
Mimoso do Sul;25307;15106;10682;974;650;1160;26
Minaçu;27319;23249;16076;1704;2246;2291;13
Minador do Negrão;5258;1704;1169;8;9;2;8
Minas do Leão;8139;4650;2741;5;9;9;7
Minas Novas;31204;9801;6949;605;671;1010;19
Minduri;3843;2067;1266;100;130;154;1
Mineiros;72995;53832;40997;6702;9615;10104;48
Mineiros do Tietê;13127;7947;4445;174;146;157;13
Ministro Andreazza;8725;6063;4503;197;245;293;10
Mira Estrela;3158;2127;1298;24;20;25;2
Mirabela;13593;6919;4698;318;418;661;14
Miracatu;19096;11014;6813;679;1073;1092;98
Miracema;27491;12722;8801;87;115;101;16
Miracema do Tocantins;16893;10060;7225;295;497;503;11
Mirador;23406;3916;2543;78;94;103;18
Miradouro;10794;5359;3815;231;268;378;2
Miraguaí;4892;3896;2309;13;20;16;13
Miraí;15324;7671;4999;450;592;781;11
Miraíma;14181;2855;2004;32;41;37;13
Miranda;28883;12189;8274;266;407;384;3
Miranda do Norte;29167;4298;3325;35;39;30;11
Mirandiba;15612;3323;2263;63;71;58;15
Mirandópolis;30107;20251;13313;380;383;364;25
Mirangaba;18601;2866;1936;52;92;87;5
Miranorte;13603;8413;6196;170;289;318;12
Mirante;0;0;0;0;0;0;0
Mirante da Serra;9800;7955;5243;281;381;448;8
Mirante do Paranapanema;18556;10043;5921;305;302;392;28
Miraselva;1736;1378;822;37;65;74;2
Mirassol;61792;51020;35235;1980;2140;2671;44
Mirassol d'Oeste;28855;22840;15847;18;16;2;17
Mirassolândia;5068;3036;1880;55;49;48;3
Miravânia;4947;1033;816;49;53;76;5
Mirim Doce;2228;2176;1430;77;96;123;1
Mirinzal;15146;2708;1670;26;26;21;5
Missal;10601;9666;6303;288;429;553;14
Missão Velha;9646;6859;5276;878;1074;1095;20
Mocajuba;32341;2761;1757;231;354;230;15
Mococa;69083;51087;34323;1631;1348;1395;72
Modelo;4234;3361;2417;223;311;360;0
Moeda;4937;3710;2213;415;549;643;3
Moema;7614;6318;4325;364;485;577;6
Mogeiro;13218;3753;2983;14;18;10;8
Mogi das Cruzes;466732;284944;194327;7680;6031;6992;353
Mogi Guaçu;156563;132235;88395;3876;3070;2559;133
Mogi Mirim;94963;80857;52972;2107;1736;1555;121
Moiporá;1368;788;511;61;79;98;5
Moita Bonita;11304;5317;3955;9;10;4;4
Moju;85381;12228;8439;629;1003;663;76
Mojuí dos Campos;16439;3246;2914;180;268;193;22
Mombaça;43935;14705;11175;70;108;138;39
Mombuca;3548;2576;1576;57;42;31;5
Monção;34046;3316;2225;43;43;26;16
Monções;2284;1960;1287;25;14;21;4
Mondaí;12151;9118;6743;550;772;904;9
Mongaguá;60795;29170;19171;957;887;952;52
Monjolos;2105;280;187;80;86;104;0
Monsenhor Gil;10655;2216;1866;120;137;139;2
Monsenhor Hipólito;7876;1968;1637;78;79;71;10
Monsenhor Paulo;8781;4701;2974;262;357;485;4
Monsenhor Tabosa;17404;6588;4768;22;28;22;11
Montadas;5848;1472;1111;10;13;6;7
Montalvânia;14080;5812;4124;221;263;389;9
Montanha;18668;9341;7201;727;633;884;28
Montanhas;11150;3420;2509;32;53;47;10
Montauri;1390;1424;885;2;3;2;2
Monte Alegre;6151;3521;2277;56;46;35;6
Monte Alegre de Goiás;8906;1648;1128;245;299;317;15
Monte Alegre de Minas;21457;13989;8151;822;1141;1283;15
Monte Alegre de Sergipe;15295;4562;3123;5;7;3;4
Monte Alegre do Piauí;10718;2022;1679;96;109;100;10
Monte Alegre do Sul;8339;7136;4507;132;119;140;10
Monte Alegre dos Campos;3235;1744;958;4;7;14;4
Monte Alto;5125;1902;1382;38;56;79;3
Monte Aprazível;26297;18682;11925;385;381;362;20
Monte Azul;19859;12368;8138;505;594;883;23
Monte Azul Paulista;18760;15642;9942;139;148;107;16
Monte Belo;12955;10053;6452;558;778;1053;16
Monte Belo do Sul;0;0;0;0;0;0;0
Monte Carlo;9981;6066;3810;349;459;555;7
Monte Carmelo;47884;40783;26576;2179;3353;4514;48
Monte Castelo;12289;8238;5627;302;384;419;21
Monte das Gameleiras;2058;592;429;5;8;5;3
Monte do Carmo;8372;1763;1282;60;109;120;8
Monte Formoso;4934;1437;930;81;103;127;2
Monte Horebe;4874;1232;924;10;10;7;6
Monte Mor;64016;41000;27364;658;483;424;59
Monte Negro;16082;8504;6009;344;457;561;27
Monte Santo;47489;10127;6210;264;524;492;34
Monte Santo de Minas;21240;16594;9091;761;1108;1431;20
Monte Santo do Tocantins;2329;716;543;36;58;55;8
Monte Sião;24644;19669;13212;723;1029;1278;20
Monteiro;2767;2049;1364;43;34;39;1
Monteiro Lobato;4836;3460;1600;103;75;78;5
Monteirópolis;7115;1542;1150;10;18;16;4
Montenegro;66749;50190;32180;65;119;95;72
Montes Altos;9162;2234;1704;29;31;16;13
Montes Claros;425261;246895;181972;28330;42587;56603;168
Montes Claros de Goiás;7922;5407;3859;451;639;581;15
Montezuma;8481;2960;1909;115;138;190;12
Montividiu;14654;9141;6563;1062;1791;1580;12
Montividiu do Norte;4581;1675;1177;84;103;111;2
Morada Nova;61668;30597;22906;214;319;296;103
Morada Nova de Minas;8994;4875;3460;372;468;669;2
Moraújo;8920;2577;1980;19;30;24;13
Moreilândia;11282;2118;1454;85;85;80;5
Moreira Sales;11602;7389;4509;190;269;366;19
Moreno;64196;18887;14061;370;398;358;42
Mormaço;3154;1928;1117;3;7;6;3
Morpará;8514;849;461;10;15;13;2
Morretes;16436;9992;6686;481;730;923;15
Morrinhos;70881;44623;30431;3725;4951;5311;58
Morrinhos do Sul;0;0;0;0;0;0;0
Morro Agudo;34304;21003;13879;393;391;327;21
Morro Agudo de Goiás;2142;1675;1203;78;97;100;5
Morro Cabeça no Tempo;4805;375;244;7;8;8;0
Morro da Fumaça;18219;19954;13711;1379;1770;2031;11
Morro da Garça;2314;898;531;51;56;81;0
Morro do Chapéu;34622;7738;4726;284;366;386;44
Morro do Chapéu do Piauí;6904;1060;749;29;32;28;6
Morro do Pilar;3008;1336;984;151;168;241;1
Morro Grande;2875;2575;2050;101;128;141;7
Morro Redondo;6613;6130;3160;12;20;14;12
Morro Reuter;6650;4837;3457;9;15;9;9
Morros;19796;2826;2051;37;41;28;13
Mortugaba;11771;3501;2103;32;32;28;7
Morungaba;14298;11864;6896;226;145;145;7
Mossâmedes;3806;2670;1825;151;186;191;12
Mossoró;304565;190194;150597;3149;5557;4967;165
Mostardas;12901;8001;4790;8;11;14;10
Motuca;4910;2758;1474;56;54;56;4
Mozarlândia;16567;10425;7236;626;868;890;13
Muaná;41912;1126;462;52;82;73;3
Mucajaí;19035;4831;3704;214;383;381;52
Mucambo;14674;5457;3865;26;38;35;12
Mucugê;8876;3835;2327;5;7;5;2
Muçum;8876;3835;2327;5;7;5;2
Mucuri;42941;10488;8762;210;375;441;17
Mucurici;5243;2587;2019;184;161;214;10
Muitos Capões;3186;1805;1046;7;11;6;8
Muliterno;1897;1425;898;1;3;1;2
Mulungu;19480;5329;4222;50;76;74;19
Mulungu do Morro;9890;2337;1429;54;60;55;6
Mundo Novo;49713;19154;13020;524;722;754;25
Munhoz;5792;6012;4162;170;220;302;7
Munhoz de Melo;4069;2575;1531;72;105;155;5
Muniz Ferreira;7321;2020;1552;68;106;104;9
Muniz Freire;16290;11666;7835;467;319;578;8
Muquém de São Francisco;11399;1410;1014;154;383;419;36
Muqui;15449;8377;5720;383;231;401;7
Muriaé;7362;2473;1652;9;11;12;0
Muribeca;7628;1861;1427;7;11;3;8
Murici;28300;5967;4942;16;20;2;16
Murici dos Portelas;9396;1096;867;42;45;44;6
Muricilândia;3671;731;557;19;29;31;2
Muritiba;28662;8425;6076;70;99;120;10
Murutinga do Sul;4560;2745;1731;38;37;36;2
Mutuípe;21905;10196;6739;78;142;141;12
Mutum;26601;13636;10323;715;902;1353;31
Mutunópolis;3660;2198;1490;134;184;174;3
Muzambinho;20228;18255;10897;867;1232;1541;24
Nacip Raydan;3187;722;577;53;56;87;3
Nantes;3294;1364;854;17;13;11;3
Nanuque;39892;22075;14095;2065;2876;3610;14
Não Informado;0;0;0;0;0;0;0
Não-Me-Toque;18090;15672;10350;15;21;21;19
Naque;7188;3049;2275;226;305;348;2
Narandiba;5050;2962;1961;51;43;57;2
Natal;4415;2051;1238;56;55;41;2
Natalândia;3441;1416;1082;107;136;194;6
Natércia;4653;3031;2020;92;111;151;3
Natividade;3141;1010;725;107;170;211;12
Natividade da Serra;6833;3484;1985;74;56;64;9
Natuba;10442;785;596;7;7;1;7
Navegantes;87712;60000;47835;5977;7852;9125;71
Naviraí;58150;38932;28440;1566;2513;2639;31
Nazaré;5556;1838;1373;76;112;122;7
Nazaré da Mata;32779;8987;6705;252;290;262;32
Nazaré do Piauí;7350;1725;1429;60;57;61;4
Nazaré Paulista;19247;14828;8379;429;340;330;38
Nazareno;8766;5827;3593;303;472;538;13
Nazarezinho;7265;1821;1415;13;15;9;9
Nazária;8745;1392;1249;149;156;141;14
Nazário;9635;4406;3151;378;533;529;17
Neópolis;18534;5010;3716;6;7;3;4
Nepomuceno;26757;17681;9725;691;928;1155;16
Nerópolis;32316;20445;14491;2571;3661;3679;23
Neves Paulista;8870;6587;4283;137;105;139;7
Nhamundá;0;0;0;0;0;0;0
Nhandeara;11662;8262;4847;263;200;240;13
Nicolau Vergueiro;1679;1504;827;2;3;1;3
Nilo Peçanha;14156;2190;1352;11;18;19;0
Nilópolis;165554;61952;38240;665;786;753;52
Nina Rodrigues;14850;1172;607;17;18;9;10
Ninheira;10332;3315;2403;100;112;155;9
Nioaque;13152;7403;5050;112;160;173;1
Nipoã;5091;3429;2029;64;61;52;7
Niquelândia;37975;25280;17169;2225;2702;2785;35
Nísia Floresta;28353;7817;6050;158;293;283;15
Niterói;499801;288754;187736;5880;6663;6507;327
Nobres;15579;11960;9189;39;35;27;18
Nonoai;11339;7982;4635;27;47;33;29
Nordestina;12933;2407;1559;57;98;99;8
Normandia;12192;930;628;49;83;79;14
Nortelândia;5864;3539;2359;2;1;5;0
Nossa Senhora Aparecida;8782;3142;2208;9;15;11;4
Nossa Senhora da Glória;38076;20264;14683;12;20;13;7
Nossa Senhora das Dores;26993;9918;7334;6;9;5;3
Nossa Senhora das Graças;3968;2157;1271;128;214;248;11
Nossa Senhora de Lourdes;6492;1794;1283;4;4;0;3
Nossa Senhora de Nazaré;4978;1451;1213;60;61;63;1
Nossa Senhora do Livramento;13468;4647;3621;36;66;36;53
Nossa Senhora do Socorro;190424;62690;48307;221;354;334;5
Nossa Senhora dos Remédios;8862;1491;766;68;59;55;5
Nova Aliança;7373;4603;2886;86;58;73;3
Nova Aliança do Ivaí;1568;882;583;18;18;30;0
Nova Alvorada;3663;2636;1712;2;3;1;2
Nova Alvorada do Sul;24078;12577;9315;266;360;342;5
Nova América;2352;1583;906;98;127;139;5
Nova América da Colina;3355;2339;1321;71;99;131;2
Nova Andradina;57787;39845;29078;1939;2981;3006;29
Nova Araçá;5006;3609;2325;7;11;11;8
Nova Aurora;11741;11943;7609;402;571;710;21
Nova Bandeirantes;16855;8383;6305;9;6;3;8
Nova Bassano;10206;8746;5757;7;14;7;7
Nova Belém;2851;1577;1194;64;71;93;2
Nova Boa Vista;0;0;0;0;0;0;0
Nova Brasilândia;3677;2453;1698;2;3;2;1
Nova Brasilândia D'Oeste;19752;12015;9164;547;770;945;22
Nova Bréscia;3340;2676;1840;2;3;1;2
